product_abstract_store.store_name,concrete_sku,product.value_10
DE,14824_A299574,MER000001
DE,14824_A299574,MER000002
DE,14824_A299509,MER000001
DE,14824_A299444,MER000001
DE,14824_A298579,MER000001
DE,14824_A298575,MER000001
DE,14824_A298573,MER000001
DE,14824_A298561,MER000001
DE,14824_A298560,MER000001
DE,14824_A295392,MER000001
DE,14824_A295392,MER000002
DE,14824_A295382,MER000001
DE,14824_A295382,MER000002
DE,14824_A295352,MER000001
DE,14824_A293175,MER000001
DE,14824_A293175,MER000002
DE,14824_A293173,MER000001
DE,14824_A293173,MER000002
DE,14824_A293172,MER000001
DE,14824_A293172,MER000002
DE,14824_A293171,MER000001
DE,14824_A293171,MER000002
DE,14824_A293169,MER000001
DE,14824_A293169,MER000002
DE,14824_A293169,MER000006
DE,14824_A293167,MER000001
DE,14824_A293167,MER000002
DE,14824_A293167,MER000006
DE,14824_A293161,MER000001
DE,14824_A293161,MER000002
DE,14824_A293123,MER000001
DE,14824_A293123,MER000002
DE,14824_A293123,MER000006
DE,14824_A293116,MER000001
DE,14824_A293097,MER000001
DE,14824_A293097,MER000002
DE,14824_A293097,MER000006
DE,14824_A293085,MER000001
DE,14824_A293085,MER000002
DE,14824_A293084,MER000001
DE,14824_A293084,MER000002
DE,14824_A293084,MER000006
DE,14824_A292487,MER000001
DE,14824_A292487,MER000002
DE,14824_A292477,MER000001
DE,14824_A292477,MER000002
DE,14824_A292472,MER000001
DE,14824_A292464,MER000001
DE,14824_A292464,MER000002
DE,14824_A292463,MER000001
DE,14824_A292463,MER000002
DE,14824_A292454,MER000001
DE,14824_A292454,MER000002
DE,14824_A292452,MER000001
DE,14824_A292452,MER000002
DE,14824_A292446,MER000001
DE,14824_A292445,MER000001
DE,14824_A292445,MER000002
DE,14824_A292443,MER000001
DE,14824_A292440,MER000001
DE,14824_A292440,MER000002
DE,14824_A292436,MER000001
DE,14824_A292436,MER000002
DE,14824_A292240,MER000001
DE,14824_A290666,MER000001
DE,14824_A290666,MER000002
DE,14824_A290659,MER000001
DE,14824_A290659,MER000002
DE,14824_A290659,MER000006
DE,14824_A290655,MER000001
DE,14824_A290655,MER000002
DE,14824_A290646,MER000001
DE,14824_A290646,MER000002
DE,14824_A290646,MER000006
DE,14824_A290630,MER000001
DE,14824_A290630,MER000002
DE,14824_A290630,MER000006
DE,14824_A289603,MER000001
