attribute_key,is_super
mpn,0
ean,0
gtin,0
TARIC_Code,0
color,1
size,1
material,0
gender,0
attribute_key_9,0
attribute_key_10,0
sellable_AT,0
sellable_CZ,0
sellable_FI,0
sellable_DE,0
sellable_HU,0
sellable_IT,0
sellable_NO,0
sellable_PL,0
sellable_PT,0
sellable_CH,0
sellable_SK,0
sellable_SI,0
sellable_SE,0
sellable_BE,0
sellable_BG,0
sellable_HR,0
sellable_CY,0
sellable_DK,0
sellable_EE,0
sellable_FR,0
sellable_GR,0
sellable_EE,0
sellable_IM,0
sellable_LV,0
sellable_LT,0
sellable_LU,0
sellable_MT,0
sellable_MC,0
sellable_NL,0
sellable_RO,0
sellable_ES,0
sellable_GB,0
customer_group_1,0
customer_group_2,0
customer_group_3,0
customer_group_4,0
customer_group_5,0
manufacturer,0
brand,0
dropshipment_possible,0
dropshipment_supplier,0
length,0
width,0
height,0
weight,0
purchase_price,0
strike_price,0
regular_sales_price,0
Benefit_Store_sales_price,0
Benefit_amount,0
base_price_net_value,0
base_price_unit,0
base_price_display_value,0
tyres_breite,0
tyres_querschnitt,0
tyres_zollgroesse,0
tyres_specifikation,0
tyres_hersteller,0
tyres_geschwindigkeitsindex,0
