category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.pl_PL,name.cs_CZ,name.sk_SK,meta_title.pl_PL,meta_title.cs_CZ,meta_title.sk_SK,meta_description.pl_PL,meta_description.cs_CZ,meta_description.sk_SK,meta_keywords.pl_PL,meta_keywords.cs_CZ,meta_keywords.sk_SK,category_image_name.pl_PL,category_image_name.cs_CZ,category_image_name.sk_SK
SUB_80010_06,SUB_80010,Kids Room Furniture,Kids Room Furniture,Kids Room Furniture,Kids Room Furniture,1,1,1,1,0,1,,Catalog (default),,Meble do pokoju dziecięcego,Kinderzimmermöbel,Kinderzimmermöbel,Meble do pokoju dziecięcego,Kinderzimmermöbel,Kinderzimmermöbel,Meble do pokoju dziecięcego,Kinderzimmermöbel,Kinderzimmermöbel,Meble do pokoju dziecięcego,Kinderzimmermöbel,Kinderzimmermöbel,,,
SUB_80010_07,SUB_80010,Bath Furniture,Bath Furniture,Bath Furniture,Bath Furniture,1,1,1,1,0,1,,Catalog (default),,Meble łazienkowe,Badezimmer Möbel,Badezimmer Möbel,Meble łazienkowe,Badezimmer Möbel,Badezimmer Möbel,Meble łazienkowe,Badezimmer Möbel,Badezimmer Möbel,Meble łazienkowe,Badezimmer Möbel,Badezimmer Möbel,,,
SUB_80010_08,SUB_80010,Hall Furniture,Hall Furniture,Hall Furniture,Hall Furniture,1,1,1,1,0,1,,Catalog (default),,Meble do przedpokoju,Flur Möbel,Flur Möbel,Meble do przedpokoju,Flur Möbel,Flur Möbel,Meble do przedpokoju,Flur Möbel,Flur Möbel,Meble do przedpokoju,Flur Möbel,Flur Möbel,,,
MC_90001,shop,Merchandise,Merchandise,Merchandise,Merchandise,1,1,1,1,0,1,,Catalog (default),,Towar,Merchandise,Merchandise,Towar,Merchandise,Merchandise,Towar,Merchandise,Merchandise,Towar,Merchandise,Merchandise,,,
SUB_90001,MC_90001,Book world,Book world,Book world,Book world,1,1,1,1,0,1,,Catalog (default),,świat książki,Buchwelt,Buchwelt,świat książki,Buchwelt,Buchwelt,świat książki,Buchwelt,Buchwelt,świat książki,Buchwelt,Buchwelt,,,
SUB_90002,MC_90001,Film world,Film world,Film world,Film world,1,1,1,1,0,1,,Catalog (default),,świat filmu,Filmwelt,Filmwelt,świat filmu,Filmwelt,Filmwelt,świat filmu,Filmwelt,Filmwelt,świat filmu,Filmwelt,Filmwelt,,,
SUB_90003,MC_90001,Gaming World,Gaming World,Gaming World,Gaming World,1,1,1,1,0,1,,Catalog (default),,świat gier,Gamingwelt,Gamingwelt,świat gier,Gamingwelt,Gamingwelt,świat gier,Gamingwelt,Gamingwelt,świat gier,Gamingwelt,Gamingwelt,,,
SUB_90004,MC_90001,Music World,Music World,Music World,Music World,1,1,1,1,0,1,,Catalog (default),,świat muzyki,Musikwelt,Musikwelt,świat muzyki,Musikwelt,Musikwelt,świat muzyki,Musikwelt,Musikwelt,świat muzyki,Musikwelt,Musikwelt,,,
SUB_90005,MC_90001,Series world,Series world,Series world,Series world,1,1,1,1,0,1,,Catalog (default),,świat kolekcji,Serienwelt,Serienwelt,świat kolekcji,Serienwelt,Serienwelt,świat kolekcji,Serienwelt,Serienwelt,świat kolekcji,Serienwelt,Serienwelt,,,
SUB_90006,MC_90001,Fan articles,Fan articles,Fan articles,Fan articles,1,1,1,1,0,1,,Catalog (default),,Artykuły dla fanów,Fanartikel,Fanartikel,Artykuły dla fanów,Fanartikel,Fanartikel,Artykuły dla fanów,Fanartikel,Fanartikel,Artykuły dla fanów,Fanartikel,Fanartikel,,,
SUB_90006_01,SUB_90006,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,Kitchen Appliances,1,1,1,1,0,1,,Catalog (default),,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,myWorld,,,
SUB_90006_01_01,SUB_90006_01,Lyconet,Lyconet,Lyconet,Lyconet,1,1,1,1,0,1,,Catalog (default),,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,Lyconet,,,
SUB_90006_01_01a,SUB_90006_01_01,Top-Seller,Top-Seller,Top-Seller,Top-Seller,1,0,1,0,0,1,,Catalog (default),,Top Sprzedawca,Top-Seller,Top-Seller,Top Sprzedawca,Top-Seller,Top-Seller,Top Sprzedawca,Top-Seller,Top-Seller,Top Sprzedawca,Top-Seller,Top-Seller,,,
