category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.nb_NO,name.fi_FI,name.da_DK,name.sv_SE,meta_title.nb_NO,meta_title.fi_FI,meta_title.da_DK,meta_title.sv_SE,meta_description.nb_NO,meta_description.fi_FI,meta_description.da_DK,meta_description.sv_SE,meta_keywords.nb_NO,meta_keywords.fi_FI,meta_keywords.da_DK,meta_keywords.sv_SE,category_image_name.nb_NO,category_image_name.fi_FI,category_image_name.da_DK,category_image_name.sv_SE
MC_40001,shop,"Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",1,1,1,1,0,1,5,Catalog (default),,"Bøker, filmer, TV-programmer og musikk","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Bøker, filmer, TV-programmer og musikk","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Bøker, filmer, TV-programmer og musikk","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Bøker, filmer, TV-programmer og musikk","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music","Books, Movies, TV Shows & Music",,,,
MC_50001,shop,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,1,1,1,1,0,1,6,Catalog (default),,Kontorrekvisita og skrivesaker,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Kontorrekvisita og skrivesaker,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Kontorrekvisita og skrivesaker,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,Kontorrekvisita og skrivesaker,Office Supplies & Stationery,Office Supplies & Stationery,Office Supplies & Stationery,,,,
MC_60001,shop,Electronics,Electronics,Electronics,Electronics,1,1,1,1,0,1,7,Catalog (default),,Elektronikk,Electronics,Electronics,Electronics,Elektronikk,Electronics,Electronics,Electronics,Elektronikk,Electronics,Electronics,Electronics,Elektronikk,Electronics,Electronics,Electronics,,,,
MC_70001,shop,Food & Drink,Food & Drink,Food & Drink,Food & Drink,1,1,1,1,0,1,8,Catalog (default),,Mat og drikke,Food & Drink,Food & Drink,Food & Drink,Mat og drikke,Food & Drink,Food & Drink,Food & Drink,Mat og drikke,Food & Drink,Food & Drink,Food & Drink,Mat og drikke,Food & Drink,Food & Drink,Food & Drink,,,,
MC_80001,shop,Home & Garden,Home & Garden,Home & Garden,Home & Garden,1,1,1,1,0,1,9,Catalog (default),,Hjem og Hage,Home & Garden,Home & Garden,Home & Garden,Hjem og Hage,Home & Garden,Home & Garden,Home & Garden,Hjem og Hage,Home & Garden,Home & Garden,Home & Garden,Hjem og Hage,Home & Garden,Home & Garden,Home & Garden,,,,
MC_90001,shop,Merchandise,Merchandise,Merchandise,Merchandise,1,1,1,1,0,1,15,Catalog (default),,Handelsvarer,Merchandise,Merchandise,Merchandise,Handelsvarer,Merchandise,Merchandise,Merchandise,Handelsvarer,Merchandise,Merchandise,Merchandise,Handelsvarer,Merchandise,Merchandise,Merchandise,,,,
SUB_10001,MC_10001,Trailers & Carriers,Trailers & Carriers,,,1,1,1,1,0,1,,Catalog (default),,Tilhengere og bæresystemer,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Tilhengere og bæresystemer,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Tilhengere og bæresystemer,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,Tilhengere og bæresystemer,Trailers & Carriers,Trailers & Carriers,Trailers & Carriers,,,,
SUB_10002,MC_10001,Car Tuning,Car Tuning,,,1,1,1,1,0,1,,Catalog (default),,Biljustering,Car Tuning,Car Tuning,Car Tuning,Biljustering,Car Tuning,Car Tuning,Car Tuning,Biljustering,Car Tuning,Car Tuning,Car Tuning,Biljustering,Car Tuning,Car Tuning,Car Tuning,,,,
SUB_10003,MC_10001,Car Workshop Equipment,Car Workshop Equipment,,,1,1,1,1,0,1,,Catalog (default),,Bilverksteds-utstyr,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Bilverksteds-utstyr,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Bilverksteds-utstyr,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,Bilverksteds-utstyr,Car Workshop Equipment,Car Workshop Equipment,Car Workshop Equipment,,,,
SUB_10004,MC_10001,Car Care,Car Care,,,1,1,1,1,0,1,,Catalog (default),,Bilpleie,Car Care,Car Care,Car Care,Bilpleie,Car Care,Car Care,Car Care,Bilpleie,Car Care,Car Care,Car Care,Bilpleie,Car Care,Car Care,Car Care,,,,
SUB_10005,MC_10001,Car Parts,Car Parts,,,1,1,1,1,0,1,,Catalog (default),,Bildeler,Car Parts,Car Parts,Car Parts,Bildeler,Car Parts,Car Parts,Car Parts,Bildeler,Car Parts,Car Parts,Car Parts,Bildeler,Car Parts,Car Parts,Car Parts,,,,
SUB_10006,MC_10001,Car accessories,Car accessories,,,1,1,1,1,0,1,,Catalog (default),,Bil tilbehør,Car accessories,Car accessories,Car accessories,Bil tilbehør,Car accessories,Car accessories,Car accessories,Bil tilbehør,Car accessories,Car accessories,Car accessories,Bil tilbehør,Car accessories,Car accessories,Car accessories,,,,
SUB_10007,MC_10001,Vehicles,Vehicles,,,1,1,1,1,0,1,,Catalog (default),,Kjøretøy,Vehicles,Vehicles,Vehicles,Kjøretøy,Vehicles,Vehicles,Vehicles,Kjøretøy,Vehicles,Vehicles,Vehicles,Kjøretøy,Vehicles,Vehicles,Vehicles,,,,
SUB_10008,MC_10001,Motorcycle Supplies,Motorcycle Supplies,,,1,1,1,1,0,1,,Catalog (default),,Motorsykkelrekvisita,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorsykkelrekvisita,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorsykkelrekvisita,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,Motorsykkelrekvisita,Motorcycle Supplies,Motorcycle Supplies,Motorcycle Supplies,,,,
SUB_10009,MC_10001,Oils & Maintenance,Oils & Maintenance,,,1,1,1,1,0,1,,Catalog (default),,Olje og vedlikehold,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Olje og vedlikehold,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Olje og vedlikehold,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,Olje og vedlikehold,Oils & Maintenance,Oils & Maintenance,Oils & Maintenance,,,,
SUB_10010,MC_10001,Wheels & Tires,Wheels & Tires,,,1,1,1,1,0,1,,Catalog (default),,Hjul og dekk,Wheels & Tires,Wheels & Tires,Wheels & Tires,Hjul og dekk,Wheels & Tires,Wheels & Tires,Wheels & Tires,Hjul og dekk,Wheels & Tires,Wheels & Tires,Wheels & Tires,Hjul og dekk,Wheels & Tires,Wheels & Tires,Wheels & Tires,,,,
SUB_10010_01,SUB_10010,Rims,Rims,Rims,Rims,1,1,1,1,0,1,,Catalog (default),,Felger,Rims,Rims,Rims,Felger,Rims,Rims,Rims,Felger,Rims,Rims,Rims,Felger,Rims,Rims,Rims,,,,
SUB_10010_02,SUB_10010,Summer tires,Summer tires,Summer tires,Summer tires,1,1,1,1,0,1,,Catalog (default),,Sommerdekk,Summer tires,Summer tires,Summer tires,Sommerdekk,Summer tires,Summer tires,Summer tires,Sommerdekk,Summer tires,Summer tires,Summer tires,Sommerdekk,Summer tires,Summer tires,Summer tires,,,,
SUB_10010_03,SUB_10010,All Season tires,All Season tires,All Season tires,All Season tires,1,1,1,1,0,1,,Catalog (default),,Helårsdekk,All Season tires,All Season tires,All Season tires,Helårsdekk,All Season tires,All Season tires,All Season tires,Helårsdekk,All Season tires,All Season tires,All Season tires,Helårsdekk,All Season tires,All Season tires,All Season tires,,,,
SUB_10010_04,SUB_10010,Winter tires,Winter tires,Winter tires,Winter tires,1,1,1,1,0,1,,Catalog (default),,Vinterdekk,Winter tires,Winter tires,Winter tires,Vinterdekk,Winter tires,Winter tires,Winter tires,Vinterdekk,Winter tires,Winter tires,Winter tires,Vinterdekk,Winter tires,Winter tires,Winter tires,,,,
SUB_10010_05,SUB_10010,Offroad tires,Offroad tires,Offroad tires,Offroad tires,1,1,1,1,0,1,,Catalog (default),,Terrengdekk,Offroad tires,Offroad tires,Offroad tires,Terrengdekk,Offroad tires,Offroad tires,Offroad tires,Terrengdekk,Offroad tires,Offroad tires,Offroad tires,Terrengdekk,Offroad tires,Offroad tires,Offroad tires,,,,
SUB_10010_06,SUB_10010,Truck Tires,Truck Tires,Truck Tires,Truck Tires,1,1,1,1,0,1,,Catalog (default),,Lastebildekk,Truck Tires,Truck Tires,Truck Tires,Lastebildekk,Truck Tires,Truck Tires,Truck Tires,Lastebildekk,Truck Tires,Truck Tires,Truck Tires,Lastebildekk,Truck Tires,Truck Tires,Truck Tires,,,,
SUB_11001,MC_11001,Accessories,Accessories,Accessories,Accessories,1,1,1,1,0,1,,Catalog (default),,Tilbehør,Accessories,Accessories,Accessories,Tilbehør,Accessories,Accessories,Accessories,Tilbehør,Accessories,Accessories,Accessories,Tilbehør,Accessories,Accessories,Accessories,,,,
SUB_11001_01,SUB_11001,Gloves,Gloves,Gloves,Gloves,1,1,1,1,0,1,,Catalog (default),,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,,,,
SUB_11001_02,SUB_11001,Belt,Belt,Belt,Belt,1,1,1,1,0,1,,Catalog (default),,Belte,Belt,Belt,Belt,Belte,Belt,Belt,Belt,Belte,Belt,Belt,Belt,Belte,Belt,Belt,Belt,,,,
SUB_11001_03,SUB_11001,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,1,1,1,1,0,1,,Catalog (default),,Slips og lommetørkle,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Slips og lommetørkle,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Slips og lommetørkle,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Slips og lommetørkle,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,,,,
SUB_11001_04,SUB_11001,Sunglasses,Sunglasses,Sunglasses,Sunglasses,1,1,1,1,0,1,,Catalog (default),,Solbriller,Sunglasses,Sunglasses,Sunglasses,Solbriller,Sunglasses,Sunglasses,Sunglasses,Solbriller,Sunglasses,Sunglasses,Sunglasses,Solbriller,Sunglasses,Sunglasses,Sunglasses,,,,
SUB_11002,MC_11001,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,1,1,1,1,0,1,,Catalog (default),,Babyklær,Clothing for Babies,Clothing for Babies,Clothing for Babies,Babyklær,Clothing for Babies,Clothing for Babies,Clothing for Babies,Babyklær,Clothing for Babies,Clothing for Babies,Clothing for Babies,Babyklær,Clothing for Babies,Clothing for Babies,Clothing for Babies,,,,
SUB_11003,MC_11001,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,1,1,1,1,0,1,,Catalog (default),,Dameklær,Clothes for Women,Clothes for Women,Clothes for Women,Dameklær,Clothes for Women,Clothes for Women,Clothes for Women,Dameklær,Clothes for Women,Clothes for Women,Clothes for Women,Dameklær,Clothes for Women,Clothes for Women,Clothes for Women,,,,
