category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.nb_NO,name.fi_FI,name.da_DK,name.sv_SE,meta_title.nb_NO,meta_title.fi_FI,meta_title.da_DK,meta_title.sv_SE,meta_description.nb_NO,meta_description.fi_FI,meta_description.da_DK,meta_description.sv_SE,meta_keywords.nb_NO,meta_keywords.fi_FI,meta_keywords.da_DK,meta_keywords.sv_SE,category_image_name.nb_NO,category_image_name.fi_FI,category_image_name.da_DK,category_image_name.sv_SE
SUB_11005_01,SUB_11005,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Barne- jakker og kåper,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Barne- jakker og kåper,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Barne- jakker og kåper,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,Barne- jakker og kåper,Kids Jackets & Coats,Kids Jackets & Coats,Kids Jackets & Coats,,,,
SUB_11005_02,SUB_11005,Kids Pants,Kids Pants,Kids Pants,Kids Pants,1,1,1,1,0,1,,Catalog (default),,Barnebukser,Kids Pants,Kids Pants,Kids Pants,Barnebukser,Kids Pants,Kids Pants,Kids Pants,Barnebukser,Kids Pants,Kids Pants,Kids Pants,Barnebukser,Kids Pants,Kids Pants,Kids Pants,,,,
SUB_11005_03,SUB_11005,Shirts for kids,Shirts for kids,Shirts for kids,Shirts for kids,1,1,1,1,0,1,,Catalog (default),,Barneskjorter,Shirts for kids,Shirts for kids,Shirts for kids,Barneskjorter,Shirts for kids,Shirts for kids,Shirts for kids,Barneskjorter,Shirts for kids,Shirts for kids,Shirts for kids,Barneskjorter,Shirts for kids,Shirts for kids,Shirts for kids,,,,
SUB_11005_04,SUB_11005,Dresses for kids,Dresses for kids,Dresses for kids,Dresses for kids,1,1,1,1,0,1,,Catalog (default),,Kjoler til barn,Dresses for kids,Dresses for kids,Dresses for kids,Kjoler til barn,Dresses for kids,Dresses for kids,Dresses for kids,Kjoler til barn,Dresses for kids,Dresses for kids,Dresses for kids,Kjoler til barn,Dresses for kids,Dresses for kids,Dresses for kids,,,,
SUB_11005_05,SUB_11005,Kids Sweaters,Kids Sweaters,Kids Sweaters,Kids Sweaters,1,1,1,1,0,1,,Catalog (default),,Barnegenser,Kids Sweaters,Kids Sweaters,Kids Sweaters,Barnegenser,Kids Sweaters,Kids Sweaters,Kids Sweaters,Barnegenser,Kids Sweaters,Kids Sweaters,Kids Sweaters,Barnegenser,Kids Sweaters,Kids Sweaters,Kids Sweaters,,,,
SUB_11005_06,SUB_11005,Children underwear,Children underwear,Children underwear,Children underwear,1,1,1,1,0,1,,Catalog (default),,Barneundertøy,Children underwear,Children underwear,Children underwear,Barneundertøy,Children underwear,Children underwear,Children underwear,Barneundertøy,Children underwear,Children underwear,Children underwear,Barneundertøy,Children underwear,Children underwear,Children underwear,,,,
SUB_11005_07,SUB_11005,Children swimwear,Children swimwear,Children swimwear,Children swimwear,1,1,1,1,0,1,,Catalog (default),,Badetøy for barn,Children swimwear,Children swimwear,Children swimwear,Badetøy for barn,Children swimwear,Children swimwear,Children swimwear,Badetøy for barn,Children swimwear,Children swimwear,Children swimwear,Badetøy for barn,Children swimwear,Children swimwear,Children swimwear,,,,
SUB_11005_08,SUB_11005,Children accessories,Children accessories,Children accessories,Children accessories,1,1,1,1,0,1,,Catalog (default),,Tilbehør for barn,Children accessories,Children accessories,Children accessories,Tilbehør for barn,Children accessories,Children accessories,Children accessories,Tilbehør for barn,Children accessories,Children accessories,Children accessories,Tilbehør for barn,Children accessories,Children accessories,Children accessories,,,,
SUB_11006,MC_11001,Handicrafts,Handicrafts,Handicrafts,Handicrafts,1,1,1,1,0,1,,Catalog (default),,Håndverk,Handicrafts,Handicrafts,Handicrafts,Håndverk,Handicrafts,Handicrafts,Handicrafts,Håndverk,Handicrafts,Handicrafts,Handicrafts,Håndverk,Handicrafts,Handicrafts,Handicrafts,,,,
SUB_11007,MC_11001,"Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags",1,1,1,1,0,1,920,Catalog (default),,"Kofferter, ryggsekker og vesker","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Kofferter, ryggsekker og vesker","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Kofferter, ryggsekker og vesker","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Kofferter, ryggsekker og vesker","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags","Suitcases, Backpacks & Bags",,,,
SUB_11008,MC_11001,Jewelry,Jewelry,Jewelry,Jewelry,1,1,1,1,0,1,,Catalog (default),,Smykker,Jewelry,Jewelry,Jewelry,Smykker,Jewelry,Jewelry,Jewelry,Smykker,Jewelry,Jewelry,Jewelry,Smykker,Jewelry,Jewelry,Jewelry,,,,
SUB_11009,MC_11001,Shoes,Shoes,Shoes,Shoes,1,1,1,1,0,1,,Catalog (default),,Sko ,Shoes,Shoes,Shoes,Sko ,Shoes,Shoes,Shoes,Sko ,Shoes,Shoes,Shoes,Sko ,Shoes,Shoes,Shoes,,,,
SUB_11009_01,SUB_11009,Shoes for men,Shoes for men,Shoes for men,Shoes for men,1,1,1,1,0,1,,Catalog (default),,Damesko,Shoes for men,Shoes for men,Shoes for men,Damesko,Shoes for men,Shoes for men,Shoes for men,Damesko,Shoes for men,Shoes for men,Shoes for men,Damesko,Shoes for men,Shoes for men,Shoes for men,,,,
SUB_11009_02,SUB_11009,Shoes for women,Shoes for women,Shoes for women,Shoes for women,1,1,1,1,0,1,,Catalog (default),,Herresko,Shoes for women,Shoes for women,Shoes for women,Herresko,Shoes for women,Shoes for women,Shoes for women,Herresko,Shoes for women,Shoes for women,Shoes for women,Herresko,Shoes for women,Shoes for women,Shoes for women,,,,
SUB_11009_03,SUB_11009,Shoes for Kids,Shoes for Kids,Shoes for Kids,Shoes for Kids,1,1,1,1,0,1,,Catalog (default),,Barnesko,Shoes for Kids,Shoes for Kids,Shoes for Kids,Barnesko,Shoes for Kids,Shoes for Kids,Shoes for Kids,Barnesko,Shoes for Kids,Shoes for Kids,Shoes for Kids,Barnesko,Shoes for Kids,Shoes for Kids,Shoes for Kids,,,,
SUB_11009_04,SUB_11009,Sneakers,Sneakers,Sneakers,Sneakers,1,1,1,1,0,1,,Catalog (default),,Joggesko,Sneakers,Sneakers,Sneakers,Joggesko,Sneakers,Sneakers,Sneakers,Joggesko,Sneakers,Sneakers,Sneakers,Joggesko,Sneakers,Sneakers,Sneakers,,,,
SUB_11009_05,SUB_11009,Shoes for everyone,Shoes for everyone,Shoes for everyone,Shoes for everyone,1,1,1,1,0,1,,Catalog (default),,Sko for alle,Shoes for everyone,Shoes for everyone,Shoes for everyone,Sko for alle,Shoes for everyone,Shoes for everyone,Shoes for everyone,Sko for alle,Shoes for everyone,Shoes for everyone,Shoes for everyone,Sko for alle,Shoes for everyone,Shoes for everyone,Shoes for everyone,,,,
SUB_11010,MC_11001,Watches,Watches,Watches,Watches,1,1,1,1,0,1,,Catalog (default),,Klokker,Watches,Watches,Watches,Klokker,Watches,Watches,Watches,Klokker,Watches,Watches,Watches,Klokker,Watches,Watches,Watches,,,,
SUB_11011,MC_11001,Work clothing,Work clothing,Work clothing,Work clothing,1,1,1,1,0,1,,Catalog (default),,Arbeidsklær,Work clothing,Work clothing,Work clothing,Arbeidsklær,Work clothing,Work clothing,Work clothing,Arbeidsklær,Work clothing,Work clothing,Work clothing,Arbeidsklær,Work clothing,Work clothing,Work clothing,,,,
SUB_11012,MC_11001,Clothing for everyone,Clothing for everyone,Clothing for everyone,Clothing for everyone,1,1,1,1,0,1,,Catalog (default),,Klær for alle,Clothing for everyone,Clothing for everyone,Clothing for everyone,Klær for alle,Clothing for everyone,Clothing for everyone,Clothing for everyone,Klær for alle,Clothing for everyone,Clothing for everyone,Clothing for everyone,Klær for alle,Clothing for everyone,Clothing for everyone,Clothing for everyone,,,,
SUB_11012_01,SUB_11012,"Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats",1,1,1,1,0,1,,Catalog (default),,"Drakter, jakker og kåper","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Drakter, jakker og kåper","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Drakter, jakker og kåper","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats","Drakter, jakker og kåper","Suits, Jackets & Coats","Suits, Jackets & Coats","Suits, Jackets & Coats",,,,
SUB_11012_02,SUB_11012,T-Shirts,T-Shirts,T-Shirts,T-Shirts,1,1,1,1,0,1,,Catalog (default),,T-skjorter,T-Shirts,T-Shirts,T-Shirts,T-skjorter,T-Shirts,T-Shirts,T-Shirts,T-skjorter,T-Shirts,T-Shirts,T-Shirts,T-skjorter,T-Shirts,T-Shirts,T-Shirts,,,,
SUB_11012_03,SUB_11012,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,1,1,1,1,0,1,,Catalog (default),,Skjorter og bluser,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Skjorter og bluser,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Skjorter og bluser,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,Skjorter og bluser,Shirts & Blouses,Shirts & Blouses,Shirts & Blouses,,,,
SUB_11012_04,SUB_11012,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,1,1,1,1,0,1,,Catalog (default),,Gensere og hettegensere,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Gensere og hettegensere,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Gensere og hettegensere,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,Gensere og hettegensere,Sweaters & Hoodies,Sweaters & Hoodies,Sweaters & Hoodies,,,,
SUB_11012_05,SUB_11012,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,1,1,1,1,0,1,,Catalog (default),,Kjoler og Skjørt,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Kjoler og Skjørt,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Kjoler og Skjørt,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,Kjoler og Skjørt,Dresses & Skirts,Dresses & Skirts,Dresses & Skirts,,,,
SUB_11012_06,SUB_11012,Underwear,Underwear,Underwear,Underwear,1,1,1,1,0,1,,Catalog (default),,Undertøy,Underwear,Underwear,Underwear,Undertøy,Underwear,Underwear,Underwear,Undertøy,Underwear,Underwear,Underwear,Undertøy,Underwear,Underwear,Underwear,,,,
SUB_11012_07,SUB_11012,Swimwear,Swimwear,Swimwear,Swimwear,1,1,1,1,0,1,,Catalog (default),,Badetøy,Swimwear,Swimwear,Swimwear,Badetøy,Swimwear,Swimwear,Swimwear,Badetøy,Swimwear,Swimwear,Swimwear,Badetøy,Swimwear,Swimwear,Swimwear,,,,
SUB_12001,MC_12001,Camping,Camping,Camping,Camping,1,1,1,1,0,1,,Catalog (default),,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,Camping,,,,
SUB_12002,MC_12001,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,1,1,1,1,0,1,,Catalog (default),,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,Scooter & E-Scooter,,,,
SUB_12003,MC_12001,Bicycle world,Bicycle world,Bicycle world,Bicycle world,1,1,1,1,0,1,,Catalog (default),,Sykkelverden,Bicycle world,Bicycle world,Bicycle world,Sykkelverden,Bicycle world,Bicycle world,Bicycle world,Sykkelverden,Bicycle world,Bicycle world,Bicycle world,Sykkelverden,Bicycle world,Bicycle world,Bicycle world,,,,
SUB_12003_01,SUB_12003,E-bikes,E-bikes,E-bikes,E-bikes,1,1,1,1,0,1,,Catalog (default),,El-sykler,E-bikes,E-bikes,E-bikes,El-sykler,E-bikes,E-bikes,E-bikes,El-sykler,E-bikes,E-bikes,E-bikes,El-sykler,E-bikes,E-bikes,E-bikes,,,,
SUB_12003_02,SUB_12003,Mountain bikes,Mountain bikes,Mountain bikes,Mountain bikes,1,1,1,1,0,1,,Catalog (default),,Terrengsykler,Mountain bikes,Mountain bikes,Mountain bikes,Terrengsykler,Mountain bikes,Mountain bikes,Mountain bikes,Terrengsykler,Mountain bikes,Mountain bikes,Mountain bikes,Terrengsykler,Mountain bikes,Mountain bikes,Mountain bikes,,,,
SUB_12003_03,SUB_12003,Citybikes,Citybikes,Citybikes,Citybikes,1,1,1,1,0,1,,Catalog (default),,Bysykler,Citybikes,Citybikes,Citybikes,Bysykler,Citybikes,Citybikes,Citybikes,Bysykler,Citybikes,Citybikes,Citybikes,Bysykler,Citybikes,Citybikes,Citybikes,,,,
SUB_12003_04,SUB_12003,Children bikes,Children bikes,Children bikes,Children bikes,1,1,1,1,0,1,,Catalog (default),,Barnesykler,Children bikes,Children bikes,Children bikes,Barnesykler,Children bikes,Children bikes,Children bikes,Barnesykler,Children bikes,Children bikes,Children bikes,Barnesykler,Children bikes,Children bikes,Children bikes,,,,
SUB_12003_05,SUB_12003,Bicycle accessories,Bicycle accessories,Bicycle accessories,Bicycle accessories,1,1,1,1,0,1,,Catalog (default),,Sykkeltilbehør,Bicycle accessories,Bicycle accessories,Bicycle accessories,Sykkeltilbehør,Bicycle accessories,Bicycle accessories,Bicycle accessories,Sykkeltilbehør,Bicycle accessories,Bicycle accessories,Bicycle accessories,Sykkeltilbehør,Bicycle accessories,Bicycle accessories,Bicycle accessories,,,,
SUB_12004,MC_12001,GPS & Wearables,GPS & Wearables,GPS & Wearables,GPS & Wearables,1,1,1,1,0,1,,Catalog (default),,GPS og bærbart,GPS & Wearables,GPS & Wearables,GPS & Wearables,GPS og bærbart,GPS & Wearables,GPS & Wearables,GPS & Wearables,GPS og bærbart,GPS & Wearables,GPS & Wearables,GPS & Wearables,GPS og bærbart,GPS & Wearables,GPS & Wearables,GPS & Wearables,,,,
SUB_12005,MC_12001,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,1,1,1,1,0,1,,Catalog (default),,Håndverk,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,Håndverk,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,Håndverk,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,Håndverk,Handicrafts & Crafts,Handicrafts & Crafts,Handicrafts & Crafts,,,,
SUB_12006,MC_12001,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,1,1,1,1,0,1,,Catalog (default),,Meditasjon og Esoterisme,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,Meditasjon og Esoterisme,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,Meditasjon og Esoterisme,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,Meditasjon og Esoterisme,Meditation & Esotericism,Meditation & Esotericism,Meditation & Esotericism,,,,
SUB_12007,MC_12001,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,1,1,1,1,0,1,,Catalog (default),,Musikkinstrumenter og tilbehør,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,Musikkinstrumenter og tilbehør,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,Musikkinstrumenter og tilbehør,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,Musikkinstrumenter og tilbehør,Musical Instruments & Accessories,Musical Instruments & Accessories,Musical Instruments & Accessories,,,,
SUB_12008,MC_12001,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,1,1,1,1,0,1,,Catalog (default),,Utendørs utstyr,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,Utendørs utstyr,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,Utendørs utstyr,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,Utendørs utstyr,Outdoor Equipment,Outdoor Equipment,Outdoor Equipment,,,,
SUB_12009,MC_12001,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,1,1,1,1,0,1,,Catalog (default),,Sport- og utendørs klær,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,Sport- og utendørs klær,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,Sport- og utendørs klær,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,Sport- og utendørs klær,Sports & outdoor clothing,Sports & outdoor clothing,Sports & outdoor clothing,,,,
SUB_12009_01,SUB_12009,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,1,1,1,1,0,1,,Catalog (default),,Sportsklær Damer,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,Sportsklær Damer,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,Sportsklær Damer,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,Sportsklær Damer,Sportswear Ladies,Sportswear Ladies,Sportswear Ladies,,,,
SUB_12009_02,SUB_12009,Sportswear Men,Sportswear Men,Sportswear Men,Sportswear Men,1,1,1,1,0,1,,Catalog (default),,Sportsklær Herrer,Sportswear Men,Sportswear Men,Sportswear Men,Sportsklær Herrer,Sportswear Men,Sportswear Men,Sportswear Men,Sportsklær Herrer,Sportswear Men,Sportswear Men,Sportswear Men,Sportsklær Herrer,Sportswear Men,Sportswear Men,Sportswear Men,,,,
SUB_12009_03,SUB_12009,Sportswear children,Sportswear children,Sportswear children,Sportswear children,1,1,1,1,0,1,,Catalog (default),,Sportsklær Barn,Sportswear children,Sportswear children,Sportswear children,Sportsklær Barn,Sportswear children,Sportswear children,Sportswear children,Sportsklær Barn,Sportswear children,Sportswear children,Sportswear children,Sportsklær Barn,Sportswear children,Sportswear children,Sportswear children,,,,
SUB_12009_04,SUB_12009,Sports shoes,Sports shoes,Sports shoes,Sports shoes,1,1,1,1,0,1,,Catalog (default),,Sportssko,Sports shoes,Sports shoes,Sports shoes,Sportssko,Sports shoes,Sports shoes,Sports shoes,Sportssko,Sports shoes,Sports shoes,Sports shoes,Sportssko,Sports shoes,Sports shoes,Sports shoes,,,,
SUB_12010,MC_12001,Sports nutrition,Sports nutrition,Sports nutrition,Sports nutrition,1,1,1,1,0,1,,Catalog (default),,Sportsernæring,Sports nutrition,Sports nutrition,Sports nutrition,Sportsernæring,Sports nutrition,Sports nutrition,Sports nutrition,Sportsernæring,Sports nutrition,Sports nutrition,Sports nutrition,Sportsernæring,Sports nutrition,Sports nutrition,Sports nutrition,,,,
SUB_13001,MC_13001,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,1,1,1,1,0,1,,Catalog (default),,Hundeutstyr og tilbehør,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,Hundeutstyr og tilbehør,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,Hundeutstyr og tilbehør,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,Hundeutstyr og tilbehør,Dog supplies & accessories,Dog supplies & accessories,Dog supplies & accessories,,,,
SUB_13001_01,SUB_13001,Dog food,Dog food,Dog food,Dog food,1,1,1,1,0,1,,Catalog (default),,Hundemat,Dog food,Dog food,Dog food,Hundemat,Dog food,Dog food,Dog food,Hundemat,Dog food,Dog food,Dog food,Hundemat,Dog food,Dog food,Dog food,,,,
SUB_13001_02,SUB_13001,Dog toys,Dog toys,Dog toys,Dog toys,1,1,1,1,0,1,,Catalog (default),,Hundeleker,Dog toys,Dog toys,Dog toys,Hundeleker,Dog toys,Dog toys,Dog toys,Hundeleker,Dog toys,Dog toys,Dog toys,Hundeleker,Dog toys,Dog toys,Dog toys,,,,
SUB_13002,MC_13001,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,1,1,1,1,0,1,,Catalog (default),,Katteartikler og tilbehør,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,Katteartikler og tilbehør,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,Katteartikler og tilbehør,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,Katteartikler og tilbehør,Cat supplies & accessories,Cat supplies & accessories,Cat supplies & accessories,,,,
SUB_13002_01,SUB_13002,Cat food,Cat food,Cat food,Cat food,1,1,1,1,0,1,,Catalog (default),,Kattemat,Cat food,Cat food,Cat food,Kattemat,Cat food,Cat food,Cat food,Kattemat,Cat food,Cat food,Cat food,Kattemat,Cat food,Cat food,Cat food,,,,
SUB_13002_02,SUB_13002,Cat toys,Cat toys,Cat toys,Cat toys,1,1,1,1,0,1,,Catalog (default),,Katteleker,Cat toys,Cat toys,Cat toys,Katteleker,Cat toys,Cat toys,Cat toys,Katteleker,Cat toys,Cat toys,Cat toys,Katteleker,Cat toys,Cat toys,Cat toys,,,,
SUB_13003,MC_13001,Aquaristics,Aquaristics,Aquaristics,Aquaristics,1,1,1,1,0,1,,Catalog (default),,Akvaristikk,Aquaristics,Aquaristics,Aquaristics,Akvaristikk,Aquaristics,Aquaristics,Aquaristics,Akvaristikk,Aquaristics,Aquaristics,Aquaristics,Akvaristikk,Aquaristics,Aquaristics,Aquaristics,,,,
SUB_13004,MC_13001,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,1,1,1,1,0,1,,Catalog (default),,Gnagere og smådyr,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Gnagere og smådyr,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Gnagere og smådyr,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Gnagere og smådyr,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,Rodent supplies & small animal supplies,,,,
SUB_13005,MC_13001,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,1,1,1,1,0,1,,Catalog (default),,Terrarier,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,Terrarier,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,Terrarier,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,Terrarier,Reptiles & Amphibians,Reptiles & Amphibians,Reptiles & Amphibians,,,,
SUB_13006,MC_13001,Birds,Birds,Birds,Birds,1,1,1,1,0,1,,Catalog (default),,Fugler,Birds,Birds,Birds,Fugler,Birds,Birds,Birds,Fugler,Birds,Birds,Birds,Fugler,Birds,Birds,Birds,,,,
SUB_13007,MC_13001,Horses,Horses,Horses,Horses,1,1,1,1,0,1,,Catalog (default),,Hester,Horses,Horses,Horses,Hester,Horses,Horses,Horses,Hester,Horses,Horses,Horses,Hester,Horses,Horses,Horses,,,,
SUB_13008,MC_13001,Garden & Pond,Garden & Pond,Garden & Pond,Garden & Pond,1,1,1,1,0,1,,Catalog (default),,Hage og hagedammer,Garden & Pond,Garden & Pond,Garden & Pond,Hage og hagedammer,Garden & Pond,Garden & Pond,Garden & Pond,Hage og hagedammer,Garden & Pond,Garden & Pond,Garden & Pond,Hage og hagedammer,Garden & Pond,Garden & Pond,Garden & Pond,,,,
SUB_14001,MC_14001,Adventure vouchers,Adventure vouchers,Adventure vouchers,Adventure vouchers,1,1,1,1,0,1,,Catalog (default),,Opplevelse-gavekort,Adventure vouchers,Adventure vouchers,Adventure vouchers,Opplevelse-gavekort,Adventure vouchers,Adventure vouchers,Adventure vouchers,Opplevelse-gavekort,Adventure vouchers,Adventure vouchers,Adventure vouchers,Opplevelse-gavekort,Adventure vouchers,Adventure vouchers,Adventure vouchers,,,,
SUB_15001,MC_15001,Masks,Masks,Masks,Masks,1,1,1,1,0,1,1,Catalog (default),,Masker,Masks,Masks,Masks,Masker,Masks,Masks,Masks,Masker,Masks,Masks,Masks,Masker,Masks,Masks,Masks,,,,
SUB_15002,MC_15001,Gloves,Gloves,Gloves,Gloves,1,0,1,0,0,1,2,Catalog (default),,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,Hansker,Gloves,Gloves,Gloves,,,,
SUB_15003,MC_15001,"Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices",1,1,1,1,0,1,3,Catalog (default),,"Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices",,"Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices","Grocery, Oils & Spices",,,,
SUB_15004,MC_15001,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,1,1,1,1,0,1,4,Catalog (default),,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,,,,
SUB_15005,MC_15001,"Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs",1,1,1,1,0,1,5,Catalog (default),,"Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs",,"Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs","Breads, Dairy & Eggs",,,,
SUB_15006,MC_15001,Food Mart,Food Mart,Food Mart,Food Mart,1,1,1,1,0,1,6,Catalog (default),,Food Mart,Food Mart,Food Mart,Food Mart,,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,Food Mart,,,,
